SOURCE,INDEX_COL,ID,NAME,URL
Artist,29,4gzpq5DPGxSnKTe4SA8HAU,Coldplay,https://api.spotify.com/v1/artists/4gzpq5DPGxSnKTe4SA8HAU
Artist,30,10exVja0key0uqUkk6LJRT,Vance Joy,https://api.spotify.com/v1/artists/10exVja0key0uqUkk6LJRT
Artist,32,0iOf7iRounvOdYNtp7Q3oR,Leonora Simmonds,https://api.spotify.com/v1/artists/0iOf7iRounvOdYNtp7Q3oR
Artist,33,7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,https://api.spotify.com/v1/artists/7n2wHs1TKAczGzO7Dd2rGr
Artist,34,4nDoRrQiYLoBzwC5BhVJzF,Camila Cabello,https://api.spotify.com/v1/artists/4nDoRrQiYLoBzwC5BhVJzF
Artist,35,2FXC3k01G6Gw61bmprjgqS,Hozier,https://api.spotify.com/v1/artists/2FXC3k01G6Gw61bmprjgqS
Artist,36,2txHhyCwHjUEpJjWrEyqyX,Tom Odell,https://api.spotify.com/v1/artists/2txHhyCwHjUEpJjWrEyqyX
Artist,37,7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys,https://api.spotify.com/v1/artists/7Ln80lUS6He07XvHI8qqHH
Artist,39,5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,https://api.spotify.com/v1/artists/5Pwc4xIPtQLFEnJriah9YJ
Artist,41,6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,https://api.spotify.com/v1/artists/6M2wZ9GZgrQXHCFfjv46we
Artist,42,6ltzsmQQbmdoHHbLZ4ZN25,Lord Huron,https://api.spotify.com/v1/artists/6ltzsmQQbmdoHHbLZ4ZN25
Artist,43,6Jsh7nTKdhKsVHP5zHooI0,Cwby,https://api.spotify.com/v1/artists/6Jsh7nTKdhKsVHP5zHooI0
Artist,45,4abnJNB1ZNdqTP8Q0zBbP7,BIRTHE,https://api.spotify.com/v1/artists/4abnJNB1ZNdqTP8Q0zBbP7
Artist,46,4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,https://api.spotify.com/v1/artists/4MCBfE4596Uoi2O4DtmEMz
Artist,47,06HL4z0CvFAxyc27GXpf02,Taylor Swift,https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02
Artist,48,3JhNCzhSMTxs9WLGJJxWOY,Macklemore,https://api.spotify.com/v1/artists/3JhNCzhSMTxs9WLGJJxWOY
Artist,49,4myTppRgh0rojLxx8RycOp,Ryan Lewis,https://api.spotify.com/v1/artists/4myTppRgh0rojLxx8RycOp
Artist,50,6WLvgbfYXQPO396oJEYCsi,Macklemore & Ryan Lewis,https://api.spotify.com/v1/artists/6WLvgbfYXQPO396oJEYCsi
Artist,51,4e0nWw2r4BoQSKPQ2zpU13,Ray Dalton,https://api.spotify.com/v1/artists/4e0nWw2r4BoQSKPQ2zpU13
Artist,52,0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,https://api.spotify.com/v1/artists/0Y5tJX1MQlPlqiwlOH1tJY
Artist,53,7s6QINQAMIPJtlAK4lrKdx,Out in Front,https://api.spotify.com/v1/artists/7s6QINQAMIPJtlAK4lrKdx
Artist,55,1dfeR4HaWDbWqFHLkxsg1d,Queen,https://api.spotify.com/v1/artists/1dfeR4HaWDbWqFHLkxsg1d
Artist,57,3enznbGqfD27y42EipONeL,Sydney Gordon,https://api.spotify.com/v1/artists/3enznbGqfD27y42EipONeL
Artist,61,1HY2Jd0NmPuamShAr6KMms,Lady Gaga,https://api.spotify.com/v1/artists/1HY2Jd0NmPuamShAr6KMms
Artist,62,4VIvfOurcf0vuLRxLkGnIG,Bradley Cooper,https://api.spotify.com/v1/artists/4VIvfOurcf0vuLRxLkGnIG
Artist,64,0RXn4GE18ZYUPMpwzKM9R9,Sound vs Silence,https://api.spotify.com/v1/artists/0RXn4GE18ZYUPMpwzKM9R9
Artist,65,5y2Xq6xcjJb2jVM54GHK3t,John Legend,https://api.spotify.com/v1/artists/5y2Xq6xcjJb2jVM54GHK3t
Artist,68,0du5cEVh5yTK9QJze8zA0C,Bruno Mars,https://api.spotify.com/v1/artists/0du5cEVh5yTK9QJze8zA0C
Artist,69,1Zld0tqISRfaJYMHpcqiiJ,DNIE,https://api.spotify.com/v1/artists/1Zld0tqISRfaJYMHpcqiiJ
Artist,70,1vCWHaC5f2uS3yhpwWbIA6,Avicii,https://api.spotify.com/v1/artists/1vCWHaC5f2uS3yhpwWbIA6
Artist,73,7scMWGksw0YUGUVuewfyJo,Greg Gould,https://api.spotify.com/v1/artists/7scMWGksw0YUGUVuewfyJo
Artist,74,62WbvkXqQGvXQvw74GU3kQ,Morissette,https://api.spotify.com/v1/artists/62WbvkXqQGvXQvw74GU3kQ
Artist,75,0YQmcNgfnoqxBMJ8dcw3Eh,Initial Talk,https://api.spotify.com/v1/artists/0YQmcNgfnoqxBMJ8dcw3Eh
Artist,76,3YQKmKGau1PzlVlkL1iodx,Twenty One Pilots,https://api.spotify.com/v1/artists/3YQKmKGau1PzlVlkL1iodx
Artist,79,5whBm2Wk9GvITjOclp8nQX,Ava Della Pietra,https://api.spotify.com/v1/artists/5whBm2Wk9GvITjOclp8nQX
Artist,80,2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,https://api.spotify.com/v1/artists/2YZyLoL8N0Wb9xBt1NhZWg
Artist,82,7dGJo4pcD2V6oG8kP0tJRR,Eminem,https://api.spotify.com/v1/artists/7dGJo4pcD2V6oG8kP0tJRR
Artist,83,0C0XlULifJtAgn6ZNCW2eu,The Killers,https://api.spotify.com/v1/artists/0C0XlULifJtAgn6ZNCW2eu
Artist,84,5NGO30tJxFlKixkPSgXcFE,The Police,https://api.spotify.com/v1/artists/5NGO30tJxFlKixkPSgXcFE
Artist,85,6l3HvQ5sa6mXTsMTB19rO5,J. Cole,https://api.spotify.com/v1/artists/6l3HvQ5sa6mXTsMTB19rO5
Artist,86,5WhXMSMSiOyEhXBNI6Lf2h,Mystic Marley,https://api.spotify.com/v1/artists/5WhXMSMSiOyEhXBNI6Lf2h
Artist,89,0gadJ2b9A4SKsB1RFkBb66,Passenger,https://api.spotify.com/v1/artists/0gadJ2b9A4SKsB1RFkBb66
Artist,90,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,https://api.spotify.com/v1/artists/66CXWjxzNUsdJxJ2JdwvnR
Artist,91,67OBT9d5RT4CT8iUfmuth4,Mj Grizz,https://api.spotify.com/v1/artists/67OBT9d5RT4CT8iUfmuth4
Artist,92,2jku7tDXc6XoB6MO2hFuqg,Tory Lanez,https://api.spotify.com/v1/artists/2jku7tDXc6XoB6MO2hFuqg
Artist,93,6XyY86QOPPrYVGvF9ch6wz,Linkin Park,https://api.spotify.com/v1/artists/6XyY86QOPPrYVGvF9ch6wz
Artist,94,5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,https://api.spotify.com/v1/artists/5YGY8feqx7naU7z4HrwZM6
Artist,95,6vXTefBL93Dj5IqAWq6OTv,French Montana,https://api.spotify.com/v1/artists/6vXTefBL93Dj5IqAWq6OTv
